🇨🇳中央频道,#genre#
无线新闻,http://xztv.putids.com:80/user/dl/llllwww.php?id=3#http://xztv.putids.com:80/user/dl/llllwww.php?id=4#http://iptv.tvfix.org/hls/inews2.m3u8
TVBS新闻台,http://61.222.202.191/live/yzyh.php?id=135
TVBS,http://61.222.202.191/live/yzyh.php?id=136
中天新闻,http://61.222.202.191/live/yzyh.php?id=137
中视新闻,http://61.222.202.191/live/yzyh.php?id=138
民视新闻台,http://61.222.202.191/live/yzyh.php?id=139
东森新闻台,http://61.222.202.191/live/yzyh.php?id=140
东森财经新闻台,http://61.222.202.191/live/yzyh.php?id=141
台视新闻,http://61.222.202.191/live/yzyh.php?id=143
壹电视新闻台,http://61.222.202.191/live/yzyh.php?id=144
三立新闻台,http://61.222.202.191/live/yzyh.php?id=146
非凡新闻台,http://61.222.202.191/live/yzyh.php?id=148
年代新闻台,http://61.222.202.191/live/yzyh.php?id=149
ABC新闻,http://61.222.202.191/live/yzyh.php?id=150
Now新闻,http://xztv.putids.com:80/user/dl/llllwww.php?id=16
Now直播,http://xztv.putids.com:80/user/dl/llllwww.php?id=17#http://61.222.202.191/live/yzyh.php?id=20

🇨🇳央视咪咕,#genre#
CCTV1-综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8#http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?
xtkg
CCTV2-财经,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8#http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV3-综艺,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8#http://117.148.179.140/PLTV/88888888/224/3221231528/index.m3u8#http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?
xtkg
CCTV4-中文,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8#http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?xtkg
CCTV4-欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
